RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
194,55,15,12,6,1.0,61,,,11,+1 Lap
194,23,17,9,7,0.0,60,,,12,+2 Laps
194,74,18,19,8,0.0,60,,,12,+2 Laps
194,63,21,14,9,0.0,60,,,12,+2 Laps
194,71,17,7,10,0.0,57,,,9,Hydraulics
194,44,20,13,11,0.0,56,,,16,+6 Laps
194,73,25,22,12,0.0,48,,,5,Engine
194,68,25,15,13,0.0,40,,,5,Engine
194,15,20,16,14,0.0,34,,,37,Throttle
194,75,18,21,15,0.0,27,,,5,Engine
194,64,21,18,16,0.0,18,,,5,Engine
194,57,1,2,17,0.0,17,,,6,Gearbox
194,21,22,10,18,0.0,17,,,20,Spun off
194,25,22,5,19,0.0,17,,,5,Engine
194,65,15,11,20,0.0,12,,,29,Puncture
194,76,24,20,21,0.0,8,,,7,Transmission
194,22,24,17,22,0.0,0,,,20,Spun off
195,57,1,1,1,10.0,65,,,1,Finished
195,14,1,2,2,6.0,65,,,1,Finished
195,30,6,3,3,4.0,65,,,1,Finished
195,25,22,5,4,3.0,65,,,1,Finished
195,22,24,9,5,2.0,64,,,11,+1 Lap
195,35,3,10,6,1.0,64,,,11,+1 Lap
195,65,15,7,7,0.0,64,,,11,+1 Lap
195,49,3,13,8,0.0,63,,,12,+2 Laps
195,15,20,16,9,0.0,63,,,12,+2 Laps
195,55,15,14,10,0.0,63,,,12,+2 Laps
195,23,17,11,11,0.0,63,,,12,+2 Laps
195,76,24,18,12,0.0,63,,,12,+2 Laps
195,68,25,21,13,0.0,63,,,12,+2 Laps
195,75,18,20,14,0.0,63,,,12,+2 Laps
195,74,18,19,15,0.0,63,,,12,+2 Laps
195,44,20,12,16,0.0,60,,,15,+5 Laps
195,71,17,8,17,0.0,46,,,5,Engine
195,56,6,6,18,0.0,28,,,4,Collision
195,21,22,4,19,0.0,28,,,4,Collision
195,63,21,17,20,0.0,21,,,5,Engine
195,64,21,15,21,0.0,20,,,5,Engine
196,57,1,1,1,10.0,78,,,1,Finished
196,21,22,3,2,6.0,78,,,1,Finished
196,56,6,7,3,4.0,78,,,1,Finished
196,63,21,8,4,3.0,78,,,1,Finished
196,35,3,13,5,2.0,77,,,11,+1 Lap
196,64,21,12,6,1.0,77,,,11,+1 Lap
196,65,15,9,7,0.0,77,,,11,+1 Lap
196,71,17,15,8,0.0,76,,,12,+2 Laps
196,75,18,19,9,0.0,76,,,12,+2 Laps
196,30,6,4,10,0.0,76,,,12,+2 Laps
196,68,25,20,11,0.0,76,,,12,+2 Laps
196,55,15,11,12,0.0,72,,,6,Gearbox
196,15,20,10,13,0.0,56,,,6,Gearbox
